LabelSet,Author,Pro,Neutral,Cons
Primary,Act 1884,0.00896435318281874,0.332607391057536,0.6584282517433167
Primary,Begbie,0.36753754795063287,0.08497491362504661,0.5474875322543085
Primary,Crease,0.11429443891393021,0.5157832428812981,0.369922311976552
Alt-short,Act 1884,0.01238496764563024,0.6214649319299497,0.3661501072347164
Alt-short,Begbie,0.5365788728231564,0.23989938420709223,0.22352172248065472
Alt-short,Crease,0.10951845167437568,0.7616599053144455,0.12882164760958403
Alt-legal,Act 1884,0.04350587021326646,0.3545701139373705,0.6019240319728851
Alt-legal,Begbie,0.5330041823908687,0.19181154656689614,0.27518427855102345
Alt-legal,Crease,0.2811519308015704,0.41046776436269283,0.3083802959881723
