Author,raw_Pro,raw_Neutral,raw_Cons,filt05_Pro,filt05_Neutral,filt05_Cons,wtd_Pro,wtd_Neutral,wtd_Cons
Act 1884,0.024829237149485026,0.3772536642694225,0.5979170973102251,0.017833262734877064,0.36812588056041434,0.6140408502383665,0.02161354690579023,0.34839706872874476,0.6299893822049139
Begbie,0.27192310249018997,0.13501130080678395,0.5930656035327249,0.26060140751959643,0.11560594022054879,0.6237926542320672,0.26883278112389053,0.1176170774082173,0.6135501451939297
Crease,0.12491278068151276,0.49360218859580623,0.3814850288432046,0.10928511110404011,0.5111592056131676,0.37955568225956277,0.11395757498385355,0.5026724531557735,0.383369969188461
