"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"UK news: London | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 08:05:57","http://web.archive.org/web/20130101080557/http://www.guardian.co.uk/uk/london/rss","20130101080557","http://www.guardian.co.uk/uk/london/rss" 
"Letters: Give youth clubs money for sport | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 08:07:56","http://web.archive.org/web/20130101080756/http://www.guardian.co.uk/uk/2012/dec/31/give-youth-clubs-money-sport","20130101080756","http://www.guardian.co.uk/uk/2012/dec/31/give-youth-clubs-money-sport" 
"Science: Climate change | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 08:38:31","http://web.archive.org/web/20130101083831/http://www.guardian.co.uk/science/scienceofclimatechange/rss","20130101083831","http://www.guardian.co.uk/science/scienceofclimatechange/rss" 
"Latest news and features on charity volunteers | Society | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 09:34:26","http://web.archive.org/web/20130101093426/http://www.guardian.co.uk/society/volunteering","20130101093426","http://www.guardian.co.uk/society/volunteering" 
"Society: Housing | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 12:11:44","http://web.archive.org/web/20130101121144/http://www.guardian.co.uk/society/housing/rss","20130101121144","http://www.guardian.co.uk/society/housing/rss" 
"Education: Birkbeck, University of London | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 12:21:48","http://web.archive.org/web/20130101122148/http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss","20130101122148","http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss" 
"Guardian Professional | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 12:59:59","http://web.archive.org/web/20130101125959/http://www.guardian.co.uk/guardian-professional/rss","20130101125959","http://www.guardian.co.uk/guardian-professional/rss" 
"Politics: Education policy | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 14:16:15","http://web.archive.org/web/20130101141615/http://www.guardian.co.uk/politics/education/rss","20130101141615","http://www.guardian.co.uk/politics/education/rss" 
"Art and design: Zaha Hadid | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 14:35:49","http://web.archive.org/web/20130101143549/http://www.guardian.co.uk/artanddesign/zaha-hadid/rss","20130101143549","http://www.guardian.co.uk/artanddesign/zaha-hadid/rss" 
"Fresh fears for school sports as crucial Ofsted probe is held up | Education | The Observer","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 14:37:06","http://web.archive.org/web/20130101143706/http://www.guardian.co.uk/education/2012/dec/29/fears-school-sports-ofsted-probe","20130101143706","http://www.guardian.co.uk/education/2012/dec/29/fears-school-sports-ofsted-probe" 
"Sport + Letters | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 14:48:46","http://web.archive.org/web/20130101144846/http://www.guardian.co.uk/sport/sport+tone/letters","20130101144846","http://www.guardian.co.uk/sport/sport+tone/letters" 
"Sport: Sport + Letters | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 14:49:05","http://web.archive.org/web/20130101144905/http://www.guardian.co.uk/sport/sport+tone/letters/rss","20130101144905","http://www.guardian.co.uk/sport/sport+tone/letters/rss" 
"Letters | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 14:55:43","http://web.archive.org/web/20130101145543/http://www.guardian.co.uk/tone/letters?page=2","20130101145543","http://www.guardian.co.uk/tone/letters?page=2" 
"UK news + Letters | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 14:57:17","http://web.archive.org/web/20130101145717/http://www.guardian.co.uk/uk/uk+tone/letters","20130101145717","http://www.guardian.co.uk/uk/uk+tone/letters" 
