place name,URI,LAT,LNG
Buda,http://geo-kima.org/place/7209,,
Cannae,http://pleiades.stoa.org/places/442523,41.296496,16.15132
Corsica,http://sws.geonames.org/3023519,,
Milan,http://pleiades.stoa.org/places/383706,45.4637,9.1881
Trent,http://pleiades.stoa.org/places/383804,46.06692,11.12154
